,address,address_point,school_address,school_point,distance,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total
6154,Ashburton North,"(-43.8917970745812, 171.789458663343)",Hampstead,"(-43.9115886348884, 171.75646729191)",3.4439565838659703,0,0,9,0,0,0,0,0,0,0,9
6155,Richmond North (Christchurch City),"(-43.5129708765331, 172.658626269763)",Christchurch Central,"(-43.5324336842168, 172.636016348593)",2.83146486256255,0,6,0,0,0,0,0,0,0,0,9
6156,Dunstan-Galloway,"(-45.1990538286119, 169.439430856307)",Alexandra North,"(-45.243638355461, 169.389847440978)",6.302220905365065,0,9,96,0,0,0,93,0,0,0,204
6157,Westmere South-Western Springs,"(-36.86042307128, 174.722449451001)",Mount Albert Central,"(-36.8834503423131, 174.723396651018)",2.556852140696487,0,0,0,0,0,0,0,0,0,0,6
6158,Mellons Bay,"(-36.8871594611989, 174.930402482909)",Botany South,"(-36.9385812005159, 174.91414623875)",5.887581899124433,0,0,0,0,0,0,0,0,0,0,9
6159,Fernhill,"(-45.8846408097147, 170.493184491304)",Forbury,"(-45.9009933422171, 170.490305988396)",1.831250065116696,0,0,0,0,0,0,0,0,0,0,12
6160,Buller Coalfields,"(-41.7281935038437, 171.866816114853)",Westport North,"(-41.7441380374743, 171.608993751709)",21.52176441329653,0,0,12,0,0,0,24,0,0,0,36
6161,Ranui Domain,"(-36.8658992327055, 174.604273434972)",Henderson Lincoln East,"(-36.8559007811499, 174.634074249263)",2.8797874379441057,0,0,9,0,0,0,0,0,0,0,12
6162,Sandringham West,"(-36.8924927257158, 174.730787691333)",Otara Central,"(-36.9559345561559, 174.876779937487)",14.79102782774893,0,0,0,0,0,0,0,0,0,0,6
6163,Fitzroy ,"(-37.8178545318535, 175.300862966342)",Hamilton East Village,"(-37.7902816805082, 175.293246525855)",3.133029031338467,0,0,27,0,6,0,0,6,0,0,48
6164,Rothesay Bay,"(-36.7235540973312, 174.747293915972)",Takapuna West,"(-36.7891091781411, 174.761170075111)",7.379615649207285,0,0,0,0,0,0,0,0,0,0,9
6165,Heretaunga,"(-41.1387735870856, 175.019051429813)",Elderslea,"(-41.1201996981007, 175.057879564897)",3.8581358767504943,0,0,0,0,0,0,0,0,0,0,6
6166,East Taieri,"(-45.8910338550988, 170.351889425349)",Wakari,"(-45.8583870531894, 170.486218637786)",11.042286002062381,0,0,6,0,0,0,0,0,0,0,9
6167,St James,"(-37.7357225492408, 175.283848825894)",Miropiko,"(-37.7646389243043, 175.271557263751)",3.3873570395737023,0,0,24,0,0,0,0,0,0,0,30
6168,Royal Oak (Palmerston North City),"(-40.3307415264615, 175.662593119051)",Esplanade,"(-40.3673235609329, 175.614290745635)",5.774143513794271,0,0,24,0,0,0,0,12,0,0,36
6169,Wallaceville,"(-41.1288852816391, 175.060868293951)",Pipitea-Kaiwharawhara,"(-41.2762482199777, 174.787726393494)",28.155320414248937,0,0,0,0,0,0,0,0,0,0,6
6170,East Tamaki Heights,"(-36.941786900113, 174.92247187719)",Dannemora North,"(-36.9458412432691, 174.912214844138)",1.0184453052037998,0,0,21,0,0,0,0,0,0,0,30
6171,Welcome Bay South,"(-37.7363742538903, 176.197435467861)",Tauranga South,"(-37.708425903253, 176.156819614486)",4.737577164348496,0,21,63,0,15,0,81,15,0,0,198
6172,Hilltop (Auckland),"(-36.9857189901601, 174.907713403195)",Manukau Central,"(-36.9913899098018, 174.869475281458)",3.4618356105572405,0,6,0,0,0,0,0,0,0,0,9
6173,Mount Albert Central,"(-36.8834503423131, 174.723396651018)",Westmere South-Western Springs,"(-36.86042307128, 174.722449451001)",2.556852140696487,0,0,0,0,0,0,0,0,0,0,12
6174,Hingaia,"(-37.0736995971307, 174.914194448576)",Auckland-University,"(-36.8514305677009, 174.769064686484)",27.847655243927516,0,15,0,21,0,0,0,0,0,0,39
6175,Sunnyhills West-Pakuranga North,"(-36.9085094979079, 174.872694024081)",Pakuranga Heights East,"(-36.9086275372358, 174.899037527776)",2.347720510080966,0,0,6,0,0,0,0,0,0,0,6
6176,Kelvin Grove North,"(-40.3224299426625, 175.660511804836)",Esplanade,"(-40.3673235609329, 175.614290745635)",6.346062702614307,0,0,18,0,0,0,0,9,0,0,33
6177,Pukekohe Hospital,"(-37.2122669571825, 174.902624064017)",Rosa Birch Park,"(-37.2070528774946, 174.895901497236)",0.8312363032286348,0,0,0,0,0,0,0,0,0,0,6
6178,Glen Eden Rosier,"(-36.915399261369, 174.636432741057)",Henderson Lincoln South,"(-36.8672246782972, 174.623675053551)",5.465812863002251,0,0,9,0,0,0,0,0,0,0,18
6179,Forrest Hill North,"(-36.7571834735817, 174.746539801497)",Auckland-University,"(-36.8514305677009, 174.769064686484)",10.650383751233914,0,9,0,0,0,0,0,72,0,0,84
6180,Brooklands-Spencerville,"(-43.3959978626243, 172.686380063204)",Belfast East,"(-43.4484095480219, 172.637644046451)",7.034440608759874,0,0,9,0,0,0,6,0,0,0,18
