WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (174.28665672124 -35.6294436685506)",105300,Kauri,56.10398784,56.10398784,1716506.55295,6056388.25925,-35.62944367,174.28665672,174.286656721,-35.6294436686
"POINT (170.825353451148 -44.0970108698041)",342000,Fairlie,4.95412588,4.95412588,1425932.5987,5115053.0057,-44.09701087,170.82535345,170.825353451,-44.0970108698
"POINT (172.775549967099 -34.5054527643316)",100100,North Cape,826.78512205,826.78512205,1579396.08115,6181775.2488,-34.50545276,172.77554997,172.775549967,-34.5054527643
"POINT (173.137442823842 -34.9162774394026)",100200,Rangaunu Harbour,272.10405305,272.10405305,1612554.6505,6136232.76615,-34.91627744,173.13744282,173.137442824,-34.9162774394
"POINT (174.158249405953 -35.2185013354381)",100300,Inlets Far North District,0,625.97275382,1705412.87215,6102111.0264,-35.21850133,174.15824941,174.158249406,-35.2185013354
"POINT (173.378738365012 -34.995278160775)",100400,Karikari Peninsula,174.18081591,174.18081591,1634562.57445,6127415.05495,-34.99527816,173.37873836,173.378738365,-34.9952781608
"POINT (173.218604066373 -35.1231472715024)",100500,Tangonge,177.20434269,177.20434269,1619918.06695,6113278.3712,-35.12314727,173.21860407,173.218604066,-35.1231472715
"POINT (173.160919377723 -35.1595169664155)",100600,Ahipara,4.5292775,4.5292775,1614655.61185,6109255.02585,-35.15951697,173.16091938,173.160919378,-35.1595169664
"POINT (173.264143021592 -35.1038347719374)",100700,Kaitaia East,5.26631029,5.26631029,1624073.02855,6115410.04495,-35.10383477,173.26414302,173.264143022,-35.1038347719
"POINT (173.267173968337 -35.1217817028019)",100800,Kaitaia West,3.21185052,3.21185052,1624343.92035,6113419.01755,-35.1217817,173.26717397,173.267173968,-35.1217817028
"POINT (173.311222404552 -35.1278500096564)",100900,Rangitihi,84.66042662,84.66042662,1628355.363,6112734.3932,-35.12785001,173.3112224,173.311222405,-35.1278500097
"POINT (173.46127558915 -35.0333174929698)",101000,Oruru-Parapara,103.28072757,103.28072757,1642075.24825,6123164.91395,-35.03331749,173.46127559,173.461275589,-35.033317493
"POINT (173.507744017992 -34.9967268249722)",101100,Taumarumaru,10.2297234,10.2297234,1646334.53585,6127202.16855,-34.99672682,173.50774402,173.507744018,-34.996726825
"POINT (173.372407449191 -35.1896425410287)",101200,Herekino-Takahue,303.69091784,303.69091784,1633904.28605,6105862.4712,-35.18964254,173.37240745,173.372407449,-35.189642541
"POINT (173.448137917866 -35.1240774682821)",101300,Peria,199.69058441,199.69058441,1640831.64315,6113105.20105,-35.12407747,173.44813792,173.448137918,-35.1240774683
"POINT (173.578903768601 -35.0253512272344)",101400,Taemaro-Oruaiti,156.73427166,156.73427166,1652809.93805,6123992.4508,-35.02535123,173.57890377,173.578903769,-35.0253512272
"POINT (173.66299854915 -35.0498769769948)",101500,Whakapaku,200.87343203,200.87343203,1660463.4437,6121224.8387,-35.04987698,173.66299855,173.662998549,-35.049876977
"POINT (173.338400979241 -35.3685089698218)",101600,Hokianga North,345.93522228,345.93522228,1630740.62845,6086036.9,-35.36850897,173.33840098,173.338400979,-35.3685089698
"POINT (173.463626681832 -35.2900686337796)",101700,Kohukohu-Broadwood,209.19924258,209.19924258,1642157.01515,6094690.1174,-35.29006863,173.46362668,173.463626682,-35.2900686338
"POINT (173.849913120966 -35.0629132968671)",101800,Whakarara,169.49143734,169.49143734,1677497.5451,6119649.8363,-35.0629133,173.84991312,173.849913121,-35.0629132969
"POINT (173.743319678638 -35.154103152171)",101900,Kaeo,255.57977504,255.57977504,1667702.38385,6109614.39505,-35.15410315,173.74331968,173.743319679,-35.1541031522
"POINT (173.617802476342 -35.2883437454517)",102000,Omahuta Forest-Horeke,463.54915239,463.54915239,1656177.3855,6094804.97815,-35.28834375,173.61780248,173.617802476,-35.2883437455
"POINT (173.484387026095 -35.4680138690759)",102100,Hokianga South,126.08745475,126.08745475,1643948.14205,6074946.17265,-35.46801387,173.48438703,173.484387026,-35.4680138691
"POINT (173.865350131607 -35.182673242285)",102200,Lake Manuwai-Kapiro,59.06085734,59.06085734,1678789.75475,6106356.02255,-35.18267324,173.86535013,173.865350132,-35.1826732423
"POINT (173.790815552075 -35.2866115918586)",102300,Okaihau,147.59027666,160.01971243,1671911.4646,6094885.3557,-35.28661159,173.79081555,173.790815552,-35.2866115919
"POINT (173.939143102298 -35.1341833083267)",102400,Rangitane-Purerua,123.18645582,123.18645582,1685559.53205,6111672.7895,-35.13418331,173.9391431,173.939143102,-35.1341833083
"POINT (173.918413959211 -35.2099337956037)",102500,Waipapa,9.15899721,9.15899721,1683593.3947,6103289.36305,-35.2099338,173.91841396,173.918413959,-35.2099337956
"POINT (173.903307529198 -35.2517627982655)",102600,Puketotara,55.26424098,55.26424098,1682176.1845,6098662.9188,-35.2517628,173.90330753,173.903307529,-35.2517627983
"POINT (173.629526324948 -35.4871663780762)",102700,Waima Forest,236.99516982,236.99516982,1657103.15145,6072747.7433,-35.48716638,173.62952632,173.629526325,-35.4871663781
"POINT (173.962434198985 -35.2080596201954)",102800,Riverview,6.21930008,6.21930008,1687602.2238,6103459.29685,-35.20805962,173.9624342,173.962434199,-35.2080596202
"POINT (173.51134901714 -35.5812843552441)",102900,Waipoua Forest,277.80801476,277.80801476,1646329.2604,6062371.3166,-35.58128435,173.51134902,173.511349017,-35.5812843552
"POINT (173.950963038966 -35.2250730934155)",103000,Kerikeri Central,3.71173696,3.71173696,1686540.0073,6101582.46485,-35.22507309,173.95096304,173.950963039,-35.2250730934
"POINT (173.957787401371 -35.2463988400324)",103100,Kerikeri South,15.46843227,15.46843227,1687138.24795,6099211.34965,-35.24639884,173.9577874,173.957787401,-35.24639884
"POINT (173.859923724124 -35.3352090378143)",103200,Ohaeawai-Waimate North,87.40452306,87.40452306,1678149.0902,6089443.304,-35.33520904,173.85992372,173.859923724,-35.3352090378
"POINT (174.000952464783 -35.2799182180276)",103300,Puketona-Waitangi,156.38492968,156.38492968,1691027.9822,6095455.082,-35.27991822,174.00095246,174.000952465,-35.279918218
"POINT (173.765348346736 -35.4228325980918)",103400,Ngapuhi,175.39009407,175.39009407,1669478.82095,6079795.79675,-35.4228326,173.76534835,173.765348347,-35.4228325981
"POINT (173.797675162704 -35.4079242227401)",103500,Kaikohe,5.67512268,5.67512268,1672426.8724,6081426.04295,-35.40792422,173.79767516,173.797675163,-35.4079242227
"POINT (173.984462871579 -35.3674663468183)",103600,Pakaraka,72.33748195,72.33748195,1689431.87385,6085760.33675,-35.36746635,173.98446287,173.984462872,-35.3674663468
"POINT (174.059212683747 -35.2793263636274)",103700,Haruru,1.52772435,1.52772435,1696327.144,6095465.6992,-35.27932636,174.05921268,174.059212684,-35.2793263636
"POINT (174.124466129521 -35.256537621232)",103800,Russell,3.27931477,3.27931477,1702290.32955,6097927.8352,-35.25653762,174.12446613,174.12446613,-35.2565376212
"POINT (174.093117922913 -35.2860989556669)",103900,Paihia,2.2421089,2.2421089,1699402.40655,6094681.1088,-35.28609895,174.09311792,174.093117923,-35.2860989557
"POINT (173.805365160792 -35.5471552652577)",104000,Mataraua Forest,272.9269353,272.9269353,1672999.13575,6065978.46685,-35.54715526,173.80536516,173.805365161,-35.5471552653
"POINT (173.952663066852 -35.4940640483593)",104100,Matawaia-Taumarere,410.6837121,410.6837121,1686407.6311,6071747.7597,-35.49406405,173.95266307,173.952663067,-35.4940640484
"POINT (174.162281844005 -35.2867910624543)",104200,Russell Peninsula,26.20135237,26.20135237,1705691.19175,6094532.8277,-35.28679106,174.16228184,174.162281844,-35.2867910625
"POINT (174.100026046345 -35.3227022884911)",104300,Opua (Far North District),5.62247307,5.62247307,1699985.5716,6090614.5372,-35.32270229,174.10002605,174.100026046,-35.3227022885
"POINT (174.226060343274 -35.3687917449512)",104400,Russell Forest-Rawhiti,191.37950948,191.37950948,1711378.574,6085368.234,-35.36879174,174.22606034,174.226060343,-35.368791745
"POINT (174.025170657513 -35.3837217625385)",104500,Moerewa,1.87566952,1.87566952,1693111.35565,6083919.92125,-35.38372176,174.02517066,174.025170658,-35.3837217625
"POINT (174.075755044243 -35.378976739744)",104600,Kawakawa,1.73247964,1.73247964,1697711.5911,6084397.408,-35.37897674,174.07575504,174.075755044,-35.3789767397
"POINT (174.141327595982 -35.4782553557059)",104700,Maromaku,238.30862311,238.30862311,1703540.68045,6073319.553,-35.47825535,174.1413276,174.141327596,-35.4782553557
"POINT (174.002316403156 -35.6530195527594)",104800,Mangakahia-Hukerenui,658.54706101,658.54706101,1690731.954,6054073.02735,-35.65301955,174.0023164,174.002316403,-35.6530195528
"POINT (174.335011301275 -35.4899199940201)",104900,Whangaruru,469.35201031,469.35201031,1721095.0401,6071805.3417,-35.48991999,174.3350113,174.335011301,-35.489919994
"POINT (174.346927274665 -35.370714000015)",105000,Inlets other Whangarei District,0,39.02456944,1722356.1878,6085012.2931,-35.370714,174.34692727,174.346927275,-35.370714
"POINT (174.209871574182 -35.6672874844791)",105100,Matarau,108.38593904,108.38593904,1709501.6599,6052279.03065,-35.66728748,174.20987157,174.209871574,-35.6672874845
"POINT (174.2871617517 -35.5944827981287)",105200,Hikurangi,4.0002501,4.0002501,1716603.02045,6060265.3993,-35.5944828,174.28716175,174.287161752,-35.5944827981
"POINT (174.154737291377 -35.7620637103629)",105400,Maungatapere,174.47962567,174.47962567,1704387.71435,6041826.82675,-35.76206371,174.15473729,174.154737291,-35.7620637104
"POINT (174.29507451879 -35.6700647555389)",105500,Kamo West,4.49900752,4.49900752,1717209.45895,6051872.67155,-35.67006476,174.29507452,174.295074519,-35.6700647555
"POINT (174.478022265969 -35.5979283192852)",105600,Matapouri-Tutukaka,78.46534341,78.46534341,1733888.359,6059640.3206,-35.59792832,174.47802227,174.478022266,-35.5979283193
"POINT (174.402874232051 -35.6467495808253)",105700,Kiripaka,72.06743057,72.06743057,1727003.2922,6054324.79145,-35.64674958,174.40287423,174.402874232,-35.6467495808
"POINT (174.309802457407 -35.67747272546)",105800,Kamo East,1.42716225,1.42716225,1718531.51515,6051033.3223,-35.67747272,174.30980246,174.309802457,-35.6774727255
"POINT (174.295058234125 -35.6901506506033)",105900,Granfield Reserve,1.66090904,1.66090904,1717178.60885,6049644.80695,-35.69015065,174.29505823,174.295058234,-35.6901506506
"POINT (174.304915519315 -35.684862548829)",106000,Kamo Central,1.09354706,1.09354706,1718078.35305,6050219.5446,-35.68486255,174.30491552,174.304915519,-35.6848625488
"POINT (174.29580182255 -35.7052007957677)",106100,Whau Valley,7.18025885,7.18025885,1717223.8601,6047974.585,-35.70520079,174.29580182,174.295801823,-35.7052007958
"POINT (174.323047719497 -35.6808513630826)",106200,Tikipunga North,2.74100722,2.74100722,1719725.17495,6050642.5042,-35.68085136,174.32304772,174.323047719,-35.6808513631
"POINT (174.255022982635 -35.7464466847373)",106300,Pukenui,19.19103565,19.19103565,1713476.11335,6043447.60605,-35.74644668,174.25502298,174.255022983,-35.7464466847
"POINT (174.317699628016 -35.6932977614664)",106400,Otangarei,1.03955837,1.03955837,1719222.66335,6049268.47775,-35.69329776,174.31769963,174.317699628,-35.6932977615
"POINT (174.33166497108 -35.6945773120808)",106500,Tikipunga South,2.74033953,2.74033953,1720484.3659,6049109.50315,-35.69457731,174.33166497,174.331664971,-35.6945773121
"POINT (174.308332346842 -35.7131013720337)",106600,Kensington (Whangarei District),3.11118529,3.11118529,1718345.8072,6047083.22685,-35.71310137,174.30833235,174.308332347,-35.713101372
"POINT (174.361229362305 -35.7039902527805)",106700,Abbey Caves-Glenbervie,32.11865017,32.11865017,1723144.9311,6048028.74265,-35.70399025,174.36122936,174.361229362,-35.7039902528
"POINT (174.324304533576 -35.7045142536357)",106800,Mairtown,0.94419075,0.94419075,1719803.51255,6048016.31955,-35.70451425,174.32430453,174.324304534,-35.7045142536
"POINT (174.290371273338 -35.7375713593824)",106900,Maunu-Horahora,4.29745554,4.29745554,1716685.3432,6044390.56295,-35.73757136,174.29037127,174.290371273,-35.7375713594
"POINT (174.309552641214 -35.7270350034189)",107000,Woodhill-Vinetown,1.38522205,1.38522205,1718435.56895,6045536.25365,-35.727035,174.30955264,174.309552641,-35.7270350034
"POINT (174.324303218891 -35.7284699468918)",107100,Whangarei Central,2.81299371,2.81299371,1719767.5343,6045359.1823,-35.72846995,174.32430322,174.324303219,-35.7284699469
"POINT (174.339645548961 -35.7259937476352)",107200,Riverside,3.50780578,3.50780578,1721158.8975,6045615.0001,-35.72599375,174.33964555,174.339645549,-35.7259937476
"POINT (174.298963023356 -35.7496880434782)",107300,Raumanga,3.46035972,3.46035972,1717444.5161,6043036.33625,-35.74968804,174.29896302,174.298963023,-35.7496880435
"POINT (174.309037566487 -35.7418304968564)",107400,Tarewa,0.94067805,0.94067805,1718367.08155,6043895.7743,-35.7418305,174.30903757,174.309037566,-35.7418304969
"POINT (174.320056733565 -35.7363877643399)",107500,Morningside (Whangarei District),1.20188251,1.20188251,1719371.6494,6044486.12135,-35.73638776,174.32005673,174.320056734,-35.7363877643
"POINT (174.514743892461 -35.624625009059)",107600,Ngunguru,3.56520869,3.56520869,1737169.48365,6056628.53745,-35.62462501,174.51474389,174.514743892,-35.6246250091
"POINT (174.285755800832 -35.7810475837077)",107700,Otaika-Portland,41.34127459,41.34127459,1716204.70345,6039573.70095,-35.78104758,174.2857558,174.285755801,-35.7810475837
"POINT (174.21595620736 -35.8958869550758)",107800,Oakleigh-Mangapai,323.78100653,323.78100653,1709737.7061,6026916.311,-35.89588695,174.21595621,174.215956207,-35.8958869551
"POINT (174.33075177837 -35.7492734485087)",107900,Port-Limeburners,7.41161121,7.41161121,1720319.454,6043043.77845,-35.74927345,174.33075178,174.330751778,-35.7492734485
"POINT (174.427944250944 -35.696951950762)",108000,Pataua,128.58726061,128.58726061,1729192.1068,6048723.67735,-35.69695195,174.42794425,174.427944251,-35.6969519508
"POINT (174.372598288183 -35.752464246045)",108100,Onerahi Park,1.9996437,1.9996437,1724098.2649,6042637.69355,-35.75246425,174.37259829,174.372598288,-35.752464246
"POINT (174.361807400575 -35.7486833976949)",108200,Sherwood Rise,1.30633937,1.30633937,1723128.4135,6043070.6712,-35.7486834,174.3618074,174.361807401,-35.7486833977
"POINT (174.363527000614 -35.7661749677456)",108300,Onerahi,2.29421222,2.29421222,1723256.91515,6041128.3423,-35.76617497,174.363527,174.363527001,-35.7661749677
"POINT (174.410732935002 -35.8017565180132)",108400,Inlet Whangarei Harbour,0,103.17545034,1727467.5637,6037121.1912,-35.80175652,174.41073294,174.410732935,-35.801756518
"POINT (174.428122574563 -35.7600184457819)",108500,Parua Bay,39.0954391,39.0954391,1729106.40195,6041728.0661,-35.76001844,174.42812257,174.428122575,-35.7600184458
"POINT (174.383903188392 -35.9149680111562)",108600,Bream Bay,235.31798384,235.31798384,1724865.48425,6024598.11325,-35.91496801,174.38390319,174.383903188,-35.9149680112
"POINT (174.486868976444 -35.8434432278654)",108700,Marsden Bay,6.10249454,6.10249454,1734277.11,6032395.3797,-35.84344323,174.48686898,174.486868976,-35.8434432279
"POINT (174.457274976055 -35.8786962341749)",108800,Ruakaka,15.79852036,15.79852036,1731546.05455,6028525.21685,-35.87869623,174.45727498,174.457274976,-35.8786962342
"POINT (174.535918752899 -35.8191311174678)",108900,Bream Head,52.18004192,52.18004192,1738749.38975,6035023.73555,-35.81913112,174.53591875,174.535918753,-35.8191311175
"POINT (174.45082084737 -36.0333041236323)",109000,Waipu,136.59458638,136.59458638,1730708.37245,6011384.01345,-36.03330412,174.45082085,174.450820847,-36.0333041236
"POINT (173.651242894448 -35.7290018131257)",109100,Kaipara Coastal,1248.06198971,1248.06198971,1658895.53575,6045913.06575,-35.72900181,173.65124289,173.651242894,-35.7290018131
"POINT (173.970891532516 -35.876962872482)",109200,Maungaru,691.9661207,691.9661207,1687641.19085,6029262.82865,-35.87696287,173.97089153,173.970891533,-35.8769628725
"POINT (173.865240446894 -35.9392015813502)",109300,Dargaville,12.55839585,12.55839585,1678042.8082,6022449.07015,-35.93920158,173.86524045,173.865240447,-35.9392015814
"POINT (174.146497814786 -36.0847705929162)",109400,Ruawai-Matakohe,530.44403267,530.44403267,1703222.55065,6006040.8644,-36.08477059,174.14649781,174.146497815,-36.0847705929
"POINT (174.323319960927 -36.2062241063147)",109500,Otamatea (Kaipara District),244.89158927,244.89158927,1718959.61345,5992366.32825,-36.20622411,174.32331996,174.323319961,-36.2062241063
"POINT (174.346939161641 -36.1095245801138)",109600,Maungaturoto,21.59969701,21.59969701,1721231.7843,6003063.6784,-36.10952458,174.34693916,174.346939162,-36.1095245801
"POINT (174.419543691649 -36.2014473846109)",109700,Kaiwaka,259.02591836,259.02591836,1727617.90595,5992773.8721,-36.20144738,174.41954369,174.419543692,-36.2014473846
"POINT (174.54557961114 -36.1173827619587)",109800,Mangawhai Rural,91.18003775,91.18003775,1739097.8832,6001925.93945,-36.11738276,174.54557961,174.545579611,-36.117382762
"POINT (174.584066655292 -36.0944202743657)",109900,Mangawhai Heads,6.98889597,6.98889597,1742603.3887,6004417.3813,-36.09442027,174.58406666,174.584066655,-36.0944202744
"POINT (174.593777075685 -36.1179351511928)",110000,Inlet Mangawhai Harbour,0,5.86889674,1743434.85565,6001794.59395,-36.11793515,174.59377708,174.593777076,-36.1179351512
"POINT (174.57648718185 -36.1248629663319)",110100,Mangawhai,1.99427586,1.99427586,1741866.2306,6001051.4766,-36.12486297,174.57648718,174.576487182,-36.1248629663
"POINT (174.478316387992 -36.3161433664352)",110200,Okahukura Peninsula,211.18081304,211.18081304,1732707.76105,5979971.63635,-36.31614337,174.47831639,174.478316388,-36.3161433664
"POINT (174.326612156789 -36.4536571850618)",110300,Inlet Kaipara Harbour South,0,391.72449421,1718879.01155,5964914.61085,-36.45365718,174.32661216,174.326612157,-36.4536571851
"POINT (174.626380465955 -36.2543382254981)",110400,Cape Rodney,370.64774254,370.64774254,1746115.63755,5986614.5461,-36.25433822,174.62638047,174.626380466,-36.2543382255
"POINT (174.521527818784 -36.292848301425)",110500,Wellsford,4.55282827,4.55282827,1736627.74195,5982495.6469,-36.2928483,174.52152782,174.521527819,-36.2928483014
"POINT (175.168774565513 -36.2714492933177)",110600,Oceanic Auckland Region East,0,7823.24088442,1794808.5129,5983761.3101,-36.27144929,175.16877457,175.168774566,-36.2714492933
"POINT (174.312273735217 -36.5935320407266)",110700,South Head,339.79389712,339.79389712,1717382.5173,5949415.471,-36.59353204,174.31227374,174.312273735,-36.5935320407
"POINT (174.488819472841 -36.4634866336059)",110800,Kaipara Hills,282.59738123,282.59738123,1733398.64385,5963611.93615,-36.46348663,174.48881947,174.488819473,-36.4634866336
"POINT (174.686699214971 -36.340978150824)",110900,Dome Valley-Matakana,84.7499658,84.7499658,1751367.65415,5976910.488,-36.34097815,174.68669921,174.686699215,-36.3409781508
"POINT (174.297047335762 -36.9029129694651)",111000,Oceanic Auckland Region West,0,2384.01250114,1715555.51375,5915112.26645,-36.90291297,174.29704734,174.297047336,-36.9029129695
"POINT (174.651600731686 -36.3889322799467)",111100,Warkworth West,11.35975247,11.35975247,1748126.63405,5971645.08355,-36.38893228,174.65160073,174.651600732,-36.3889322799
"POINT (174.624752333545 -36.4685091206735)",111200,Puhoi Valley,236.52996459,236.52996459,1745569.8,5962858.01835,-36.46850912,174.62475233,174.624752334,-36.4685091207
"POINT (174.667919425365 -36.4052869176492)",111300,Warkworth East,4.21863402,4.21863402,1749558.97805,5969805.60325,-36.40528692,174.66791942,174.667919425,-36.4052869176
"POINT (174.698547245061 -36.397779007943)",111400,Sandspit,22.43923564,22.43923564,1752320.2081,5970590.60325,-36.39777901,174.69854725,174.698547245,-36.3977790079
"POINT (174.791830128713 -36.365961810629)",111500,Tawharanui Peninsula,46.6707281,46.6707281,1760751.80615,5973969.07965,-36.36596181,174.79183013,174.791830129,-36.3659618106
"POINT (174.483961163394 -36.6034440257698)",111600,Te Kuru,80.93043952,80.93043952,1732723.87045,5948092.4107,-36.60344402,174.48396116,174.483961163,-36.6034440258
"POINT (174.725188706073 -36.4202418404393)",111700,Snells Beach,3.82725987,3.82725987,1754664.9923,5968056.26615,-36.42024184,174.72518871,174.725188706,-36.4202418404
"POINT (175.423163674045 -36.201098013611)",111800,Barrier Islands,320.4141008,320.4141008,1817857.97415,5991024.6205,-36.20109801,175.42316367,175.423163674,-36.2010980136
"POINT (174.746103718756 -36.4569653731224)",111900,Algies Bay-Scotts Landing,15.36828354,15.36828354,1756466.4494,5963948.49215,-36.45696537,174.74610372,174.746103719,-36.4569653731
"POINT (175.40866062485 -36.2734814360495)",112000,Inlets other Auckland,0,123.16892795,1816354.1321,5983026.2655,-36.27348144,175.40866062,175.408660625,-36.273481436
"POINT (174.563415094644 -36.5851435521726)",112100,Wainui-Waiwera,78.7150854,78.7150854,1739863.6782,5950009.90515,-36.58514355,174.56341509,174.563415095,-36.5851435522
"POINT (174.435992889139 -36.6576346249055)",112200,Parakai,1.45487644,1.45487644,1728343.45705,5942145.9004,-36.65763462,174.43599289,174.435992889,-36.6576346249
"POINT (174.498699504037 -36.6495234762322)",112300,Helensville Rural,56.91997862,56.91997862,1733962.3473,5942960.0163,-36.64952348,174.4986995,174.498699504,-36.6495234762
"POINT (174.454252722294 -36.6749691482893)",112400,Helensville,3.36590766,3.36590766,1729946.3976,5940198.2722,-36.67496915,174.45425272,174.454252722,-36.6749691483
"POINT (174.584234625916 -36.6373475895948)",112500,Waitoki,40.75529776,40.75529776,1741630.81325,5944187.9736,-36.63734759,174.58423463,174.584234626,-36.6373475896
"POINT (174.515741106192 -36.7098919809039)",112600,Waikoukou Valley,52.8545831,52.8545831,1735379.86875,5936238.8997,-36.70989198,174.51574111,174.515741106,-36.7098919809
"POINT (174.675864633945 -36.5810886539593)",112700,Orewa North,3.0420543,3.0420543,1749932.10865,5950290.20415,-36.58108865,174.67586463,174.675864634,-36.581088654
"POINT (174.689355566115 -36.5700194860561)",112800,Hatfields Beach,0.92325487,0.92325487,1751160.7656,5951497.07935,-36.57001949,174.68935557,174.689355566,-36.5700194861
"POINT (174.685783997435 -36.5901354600905)",112900,Orewa South,2.31160628,2.31160628,1750802.0188,5949271.0348,-36.59013546,174.685784,174.685783997,-36.5901354601
"POINT (174.694452800532 -36.587264766613)",113000,Orewa Central,1.45284321,1.45284321,1751583.16915,5949575.8682,-36.58726477,174.6944528,174.694452801,-36.5872647666
"POINT (174.672275560308 -36.601498297058)",113100,Millwater North,1.75217359,1.75217359,1749571.5786,5948031.5638,-36.6014983,174.67227556,174.67227556,-36.6014982971
"POINT (174.420700666635 -36.7790811440067)",113200,Waipatukahu,52.05879697,52.05879697,1726776.8372,5928693.2391,-36.77908114,174.42070067,174.420700667,-36.779081144
"POINT (174.670008485398 -36.6123101212492)",113300,Millwater South,2.41113494,2.41113494,1749347.93635,5946835.63155,-36.61231012,174.67000848,174.670008485,-36.6123101212
"POINT (174.653742242965 -36.6446947021513)",113400,Dairy Flat North,22.96899967,22.96899967,1747831.25095,5943268.0678,-36.6446947,174.65374224,174.653742243,-36.6446947022
"POINT (174.618912084368 -36.6710048279732)",113500,Dairy Flat West,30.97978859,30.97978859,1744668.2197,5940402.32165,-36.67100483,174.61891208,174.618912084,-36.671004828
"POINT (174.686514346281 -36.6060642705939)",113600,Kingsway,0.9031104,0.9031104,1750836.3368,5947502.74985,-36.60606427,174.68651435,174.686514346,-36.6060642706
"POINT (174.574193072032 -36.7146374520894)",113700,Riverhead Forest,48.42763587,48.42763587,1740592.28435,5935628.26085,-36.71463745,174.57419307,174.574193072,-36.7146374521
"POINT (174.674930595299 -36.6240201317468)",113800,Silverdale Central (Auckland),3.36140307,3.36140307,1749765.4955,5945528.85815,-36.62402013,174.6749306,174.674930595,-36.6240201317
"POINT (174.695459632743 -36.6112703073831)",113900,Red Beach West,1.83998367,1.83998367,1751626.24685,5946911.10645,-36.61127031,174.69545963,174.695459633,-36.6112703074
"POINT (174.704889890019 -36.6059211778783)",114000,Red Beach East,1.56444435,1.56444435,1752480.2078,5947489.60975,-36.60592118,174.70488989,174.70488989,-36.6059211779
"POINT (174.691603484106 -36.627997531631)",114100,Silverdale South (Auckland),10.18954365,10.18954365,1751248.66845,5945061.46605,-36.62799753,174.69160348,174.691603484,-36.6279975316
"POINT (174.464445079895 -36.7805997016816)",114200,Waimauku,5.63314315,5.63314315,1730678.0493,5928465.91025,-36.7805997,174.46444508,174.46444508,-36.7805997017
"POINT (174.855332005951 -36.7871190014834)",114300,Gulf Islands,66.09614073,66.09614073,1765547.4738,5927137.35315,-36.787119,174.85533201,174.855332006,-36.7871190015
"POINT (174.718039895155 -36.6179636613626)",114400,Vipond,1.38113819,1.38113819,1753632.5079,5946132.6535,-36.61796366,174.7180399,174.718039895,-36.6179636614
"POINT (174.429226392311 -36.8252510199894)",114500,Muriwai,3.01225115,3.01225115,1727461.1229,5923559.84975,-36.82525102,174.42922639,174.429226392,-36.82525102
"POINT (174.727242255591 -36.6230019659253)",114600,Stanmore Bay West,0.98684481,0.98684481,1754445.42965,5945558.93645,-36.62300197,174.72724226,174.727242256,-36.6230019659
"POINT (174.521338355803 -36.7903906304552)",114700,Kumeu Rural West,24.43335565,24.43335565,1735737.91385,5927300.4741,-36.79039063,174.52133836,174.521338356,-36.7903906305
"POINT (174.709922570918 -36.6671137804466)",114800,Okura Bush,28.98872701,28.98872701,1752809.4182,5940692.8519,-36.66711378,174.70992257,174.709922571,-36.6671137804
"POINT (174.733583274741 -36.6366152307949)",114900,Whangaparoa Central,3.6915778,3.6915778,1754985.20455,5944038.4467,-36.63661523,174.73358327,174.733583275,-36.6366152308
"POINT (174.542866658294 -36.769982926634)",115000,Kumeu-Huapai,6.3210669,6.3210669,1737695.37095,5929533.7473,-36.76998293,174.54286666,174.542866658,-36.7699829266
"POINT (174.741763630561 -36.6293262022256)",115100,Stanmore Bay East,1.33781837,1.33781837,1755731.2799,5944833.8599,-36.6293262,174.74176363,174.741763631,-36.6293262022
"POINT (174.753000373071 -36.633365241511)",115200,Manly West,1.0323979,1.0323979,1756727.86635,5944367.4746,-36.63336524,174.75300037,174.753000373,-36.6333652415
"POINT (174.470328184298 -36.8197326981988)",115300,Muriwai Valley-Bethells Beach,35.35470719,35.35470719,1731136.30205,5924116.4463,-36.8197327,174.47032818,174.470328184,-36.8197326982
"POINT (174.77704003224 -36.6166390407086)",115400,Tindalls-Matakatia,2.93347637,2.93347637,1758911.68855,5946183.5858,-36.61663904,174.77704003,174.777040032,-36.6166390407
"POINT (174.643362922238 -36.7227087564687)",115500,Coatesville,24.36637718,24.36637718,1746755.0096,5934629.0876,-36.72270876,174.64336292,174.643362922,-36.7227087565
"POINT (174.679164075624 -36.6956026988174)",115600,Dairy Flat South,15.21709972,15.21709972,1750005.0679,5937580.8266,-36.6956027,174.67916408,174.679164076,-36.6956026988
"POINT (174.79413674474 -36.6094965791112)",115700,Gulf Harbour North,1.75709588,1.75709588,1760455.50915,5946947.55265,-36.60949658,174.79413674,174.794136745,-36.6094965791
"POINT (174.761287990824 -36.6333898601176)",115800,Manly East,1.57463079,1.57463079,1757468.8425,5944351.17875,-36.63338986,174.76128799,174.761287991,-36.6333898601
"POINT (174.583711792513 -36.7581033140079)",115900,Riverhead,4.05197196,4.05197196,1741362.72535,5930792.12665,-36.75810331,174.58371179,174.583711793,-36.758103314
"POINT (174.823257327077 -36.6050980286808)",116000,Army Bay,6.21560447,6.21560447,1763069.3753,5947386.4881,-36.60509803,174.82325733,174.823257327,-36.6050980287
"POINT (174.574568858238 -36.7765808490391)",116100,Kumeu Rural East,14.92218201,14.92218201,1740512.83595,5928755.67755,-36.77658085,174.57456886,174.574568858,-36.776580849
