WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (167.981360269766 -45.2661863242301)",357300,Mararoa,2716.76132963,2727.18979109,1206294.61435,4975214.3527,-45.26618632,167.98136027,167.98136027,-45.2661863242
"POINT (167.492820207481 -45.5183272722117)",357400,Inland water Lake Manapouri,0,138.8476547,1169893.12145,4944696.7725,-45.51832727,167.49282021,167.492820207,-45.5183272722
"POINT (167.723030473148 -45.4135155998245)",357500,Te Anau,5.52722423,5.52722423,1187104.79095,4957550.88545,-45.4135156,167.72303047,167.723030473,-45.4135155998
"POINT (167.754056575669 -45.4417266725492)",357600,Whitestone,91.16935762,91.16935762,1189737.29725,4954576.17105,-45.44172667,167.75405657,167.754056576,-45.4417266725
"POINT (168.37465706245 -45.5465414029059)",357700,Mossburn,2740.5529691,2740.5529691,1238941.8323,4945918.63215,-45.5465414,168.37465706,168.374657062,-45.5465414029
"POINT (167.267169712439 -45.9209923882894)",357800,Inland water Lake Hauroko,0,71.10793822,1155486.11845,4898728.7317,-45.92099239,167.26716971,167.267169712,-45.9209923883
"POINT (167.673010870825 -46.0170792370346)",357900,Longwood Forest,2198.42509204,2230.53039134,1187666.78955,4890242.9345,-46.01707924,167.67301087,167.673010871,-46.017079237
"POINT (168.026140433508 -45.8909350893777)",358000,Ohai-Nightcaps,948.80872688,948.80872688,1214121.40615,4906029.1515,-45.89093509,168.02614043,168.026140434,-45.8909350894
"POINT (169.031628110212 -45.4864586255493)",358100,Riversdale-Piano Flat,1578.79006336,1578.79006336,1289893.4803,4955343.85355,-45.48645863,169.03162811,169.03162811,-45.4864586255
"POINT (168.61002109279 -45.749217392581)",358200,Lumsden-Balfour,767.66967181,767.66967181,1258549.845,4924436.7151,-45.74921739,168.61002109,168.610021093,-45.7492173926
"POINT (168.317898879358 -46.002684894067)",358300,Oreti River,629.96070478,629.96070478,1237485.5171,4894987.12935,-46.00268489,168.31789888,168.317898879,-46.0026848941
"POINT (168.053478416825 -46.1925067942283)",358400,Otautau,703.22598299,703.22598299,1218329.41785,4872658.9639,-46.19250679,168.05347842,168.053478417,-46.1925067942
"POINT (168.565840143925 -46.1290311919317)",358500,Hedgehope,729.25534542,729.25534542,1257464.98015,4882051.47575,-46.12903119,168.56584014,168.565840144,-46.1290311919
"POINT (168.323825123122 -46.1448607150432)",358600,Winton,3.07424883,3.07424883,1238874.85195,4879219.2106,-46.14486071,168.32382512,168.323825123,-46.144860715
"POINT (168.330270439365 -46.2453524453205)",358700,Waianiwa,228.59097719,228.59097719,1240030.6994,4868084.39665,-46.24535244,168.33027044,168.330270439,-46.2453524453
"POINT (168.012571799152 -46.3700998248996)",358800,Riverton,8.74454414,8.74454414,1216417.8102,4852731.61735,-46.37009983,168.0125718,168.012571799,-46.3700998249
"POINT (168.255534481222 -46.3357842856605)",358900,Wallacetown,89.78595911,89.78595911,1234872.94285,4857695.23885,-46.33578429,168.25553448,168.255534481,-46.3357842857
"POINT (168.478127142157 -46.3006837230871)",359000,Grove Bush,145.5658938,145.5658938,1251778.5943,4862598.9871,-46.30068372,168.47812714,168.478127142,-46.3006837231
"POINT (168.670071132554 -46.3334381027267)",359100,Edendale-Woodlands,385.08923744,385.08923744,1266757.8006,4859787.1004,-46.3334381,168.67007113,168.670071133,-46.3334381027
"POINT (168.603467533762 -46.5686383119992)",359200,Inlets other Southland District,0,31.84762774,1263088.4265,4833373.67285,-46.56863831,168.60346753,168.603467534,-46.568638312
"POINT (167.858550166997 -46.940436008051)",359300,Stewart Island,1747.7370011,1747.7370011,1208719.5683,4788611.1844,-46.94043601,167.85855017,167.858550167,-46.9404360081
"POINT (168.604098793157 -46.4826918308426)",359400,Awarua Plains,409.0300853,409.0300853,1262604.11075,4842925.0019,-46.48269183,168.60409879,168.604098793,-46.4826918308
"POINT (168.991931200657 -46.4728327630628)",359500,Wyndham-Catlins,1382.23257773,1382.23257773,1292312.87695,4845606.1783,-46.47283276,168.9919312,168.991931201,-46.4728327631
"POINT (168.980437411983 -45.9660404426254)",359600,Waikaka,586.99832927,586.99832927,1288574.0179,4901865.70575,-45.96604044,168.98043741,168.980437412,-45.9660404426
"POINT (169.073087106201 -46.2079126125385)",359700,Waimumu-Kaiwera,647.73930342,647.73930342,1297080.763,4875352.44095,-46.20791261,169.07308711,169.073087106,-46.2079126125
"POINT (168.938687980519 -46.0916146256106)",359800,Gore North,1.72870322,1.72870322,1286052.44825,4887750.4768,-46.09161463,168.93868798,168.938687981,-46.0916146256
"POINT (168.923561763943 -46.1062640142236)",359900,Gore West,3.1580431,3.1580431,1284966.81185,4886063.0364,-46.10626401,168.92356176,168.923561764,-46.1062640142
"POINT (168.961362820941 -46.0895791231489)",360000,East Gore,3.69861291,3.69861291,1287793.64495,4888066.02375,-46.08957912,168.96136282,168.961362821,-46.0895791231
